"Gender","Century","Scope","Country","Name","Frequency"
"Female","20th","Artist","Brasil","Tarsila do Amaral","5"
"Female","20th","Artist","Brasil","Anita Malfatti","4"
"Female","20th","Artist","Brasil","Lygia Clark","4"
"Female","20th","Artist","Brasil","Maria Martins","3"
"Female","20th","Artist","Brasil","Tomie Ohtake","3"
"Female","20th","Artist","Poland","Alina Szapocznikow","4"
"Female","20th","Artist","Poland","Maria Jarema","4"
"Female","20th","Artist","Poland","Tamara de Lempicka","4"
"Female","20th","Artist","Poland","Zofia Stryjeńska","4"
"Female","20th","Artist","Poland","Katarzyna Kobro","3"
"Female","20th","Artist","South Korea","Lee Bul","4"
"Female","20th","Artist","South Korea","Yun Hyong-keun","3"
"Female","20th","Artist","South Korea","Chun Kyung-Ja","2"
"Female","20th","Artist","South Korea","Kim Whanki","2"
"Female","20th","Artist","South Korea","Park Soo-keun","2"
"Female","20th","Athlete","Japan","Hitomi Kinue","2"
"Female","20th","Athlete","Japan","Kazumi Watanabe","2"
"Female","20th","Athlete","Japan","Masako Chiba","2"
"Female","20th","Athlete","Japan","Naoko Takahashi","2"
"Female","20th","Athlete","Japan","Yuko Arimori","2"
"Female","20th","Athlete","Spain","Arantxa Sánchez Vicario","4"
"Female","20th","Athlete","Spain","Teresa Perales","4"
"Female","20th","Athlete","Spain","Conchita Martínez","3"
"Female","20th","Athlete","Spain","Mireia Belmonte","3"
"Female","20th","Athlete","Spain","Ruth Beitia","3"
"Female","20th","Economist","Argentina","Beatriz Nofal","2"
"Female","20th","Economist","Argentina","Adela Azar","1"
"Female","20th","Economist","Argentina","Alicia Kirchner","1"
"Female","20th","Economist","Argentina","Alicia R. García-Herrero","1"
"Female","20th","Economist","Argentina","Ana Maria Martirena-Mantel","1"
"Female","20th","Economist","China","Wu Jinglian","3"
"Female","20th","Economist","China","Cai Fang","2"
"Female","20th","Economist","China","Fan Gang","2"
"Female","20th","Economist","China","Li Yining","2"
"Female","20th","Economist","China","Chen Daisun","1"
"Female","20th","Economist","Germany","Elisabeth Liefmann-Keil","2"
"Female","20th","Economist","Germany","Marianne Weber","2"
"Female","20th","Economist","Germany","Rosa Luxemburg","2"
"Female","20th","Economist","Germany","Annelise Wambach","1"
"Female","20th","Economist","Germany","Annette Baier.","1"
"Female","20th","Economist","Japan","Chikayo Kondo","1"
"Female","20th","Economist","Japan","Emiko Kinoshita","1"
"Female","20th","Economist","Japan","Fumiko Hayashi","1"
"Female","20th","Economist","Japan","Hiroko Takeda","1"
"Female","20th","Economist","Japan","Hiroko Yamamoto","1"
"Female","20th","Economist","Turkey","Ayşe Buğra","2"
"Female","20th","Economist","Turkey","Aysel Yelken","1"
"Female","20th","Economist","Turkey","Aysu İnsel","1"
"Female","20th","Economist","Turkey","Aysıt Tansel","1"
"Female","20th","Economist","Turkey","Berrin Aktın","1"
"Female","20th","Economist","United Kingdom","Joan Robinson","6"
"Female","20th","Economist","United Kingdom","Phyllis Deane","3"
"Female","20th","Economist","United Kingdom","Barbara Wootton","2"
"Female","20th","Economist","United Kingdom","Sheila Dow","2"
"Female","20th","Economist","United Kingdom","Amartya Sen (though primarily known as a philosopher, her early work was in economics and influenced UK economic thought)","1"
"Female","20th","Inventor","Canada","Elsie MacGill","3"
"Female","20th","Inventor","Canada","Harriet Brooks","2"
"Female","20th","Inventor","Canada","Ursula Franklin","2"
"Female","20th","Inventor","Canada","Agnes Mary Robertson Macdonell","1"
"Female","20th","Inventor","Canada","Alice Wilson","1"
"Female","20th","Inventor","Netherlands","Aletta Jacobs","2"
"Female","20th","Inventor","Netherlands","Johanna Westerdijk","2"
"Female","20th","Inventor","Netherlands","Lise Meitner","2"
"Female","20th","Inventor","Netherlands","Truus van Lier","2"
"Female","20th","Inventor","Netherlands","Anna K. A. D. Naeff","1"
"Female","20th","Inventor","Turkey","Afife Batur","1"
"Female","20th","Inventor","Turkey","Ayla Davutyan","1"
"Female","20th","Inventor","Turkey","Aysun Yıldız","1"
"Female","20th","Inventor","Turkey","Caliye Cerrahoglu","1"
"Female","20th","Inventor","Turkey","Canan Dağdeviren","1"
"Female","20th","Musician","Norway","Sissel Kyrkjebø","4"
"Female","20th","Musician","Norway","Kari Bremnes","3"
"Female","20th","Musician","Norway","Kirsten Flagstad","3"
"Female","20th","Musician","Norway","Mari Boine","2"
"Female","20th","Musician","Norway","Anne Grete Preus","1"
"Female","20th","Musician","Spain","Montserrat Caballé","4"
"Female","20th","Musician","Spain","Alicia de Larrocha","2"
"Female","20th","Musician","Spain","Ana Belén","2"
"Female","20th","Musician","Spain","Carmen Linares","2"
"Female","20th","Musician","Spain","Victoria de los Ángeles","2"
"Female","20th","Musician","United States","Aretha Franklin","5"
"Female","20th","Musician","United States","Billie Holiday","5"
"Female","20th","Musician","United States","Ella Fitzgerald","5"
"Female","20th","Musician","United States","Janis Joplin","4"
"Female","20th","Musician","United States","Madonna","3"
"Female","20th","Philosopher","Argentina","Diana Maffía","2"
"Female","20th","Philosopher","Argentina","María Luisa Femenías","2"
"Female","20th","Philosopher","Argentina","Alicia Moreau de Justo","1"
"Female","20th","Philosopher","Argentina","Alicia Villar","1"
"Female","20th","Philosopher","Argentina","Amelia Podetti","1"
"Female","20th","Philosopher","Japan","Chizuko Ueno","1"
"Female","20th","Philosopher","Japan","Hani Motoko","1"
"Female","20th","Philosopher","Japan","Hiratsuka Raichō","1"
"Female","20th","Philosopher","Japan","Hitomi Kiyokawa","1"
"Female","20th","Philosopher","Japan","Hitoshi Tsuji.","1"
"Female","20th","Philosopher","Turkey","Betül Çotuksöken","2"
"Female","20th","Philosopher","Turkey","Ioanna Kuçuradi","2"
"Female","20th","Philosopher","Turkey","Şirin Tekeli","2"
"Female","20th","Philosopher","Turkey","Ayşe Kadıoğlu","1"
"Female","20th","Philosopher","Turkey","Ayşe Saktanber","1"
"Female","20th","Politician","France","Martine Aubry","4"
"Female","20th","Politician","France","Simone Veil","4"
"Female","20th","Politician","France","Édith Cresson","4"
"Female","20th","Politician","France","Françoise Giroud","2"
"Female","20th","Politician","France","Michèle Alliot-Marie","2"
"Female","20th","Politician","Norway","Gro Harlem Brundtland","5"
"Female","20th","Politician","Norway","Eva Kolstad","3"
"Female","20th","Politician","Norway","Aase Lionæs","2"
"Female","20th","Politician","Norway","Anne Enger Lahnstein","2"
"Female","20th","Politician","Norway","Berit Ås","2"
"Female","20th","Scientist","Poland","Alicja Dorabialska","3"
"Female","20th","Scientist","Poland","Maria Skłodowska-Curie","3"
"Female","20th","Scientist","Poland","Irena Sendler","2"
"Female","20th","Scientist","Poland","Marie Curie","2"
"Female","20th","Scientist","Poland","Anna Jerzmańska","1"
"Female","20th","Scientist","Portugal","Elvira Fortunato","3"
"Female","20th","Scientist","Portugal","Maria de Sousa","3"
"Female","20th","Scientist","Portugal","Maria do Carmo Fonseca","2"
"Female","20th","Scientist","Portugal","Amalia Robles","1"
"Female","20th","Scientist","Portugal","Ana Carlos Pereira","1"
"Female","20th","Scientist","Russia","Olga Ladyzhenskaya","3"
"Female","20th","Scientist","Russia","Sofia Kovalevskaya","3"
"Female","20th","Scientist","Russia","Natalia Bekhtereva","2"
"Female","20th","Scientist","Russia","Zinaida Ermol'eva","2"
"Female","20th","Scientist","Russia","Chien-Shiung Wu is not Russian","1"
"Female","20th","Scientist","United Kingdom","Dorothy Hodgkin","4"
"Female","20th","Scientist","United Kingdom","Jocelyn Bell Burnell","4"
"Female","20th","Scientist","United Kingdom","Rosalind Franklin","4"
"Female","20th","Scientist","United Kingdom","Anne McLaren","3"
"Female","20th","Scientist","United Kingdom","Mary Cartwright","3"
"Female","20th","Writer","China","Ding Ling","5"
"Female","20th","Writer","China","Wang Anyi","4"
"Female","20th","Writer","China","Bing Xin","3"
"Female","20th","Writer","China","Eileen Chang","3"
"Female","20th","Writer","China","Zhang Ailing","3"
"Female","20th","Writer","Turkey","Füruzan","4"
"Female","20th","Writer","Turkey","Halide Edib Adıvar","4"
"Female","20th","Writer","Turkey","Latife Tekin","4"
"Female","20th","Writer","Turkey","Adalet Ağaoğlu","3"
"Female","20th","Writer","Turkey","Leyla Erbil","3"
"Female","21st","Artist","France","Sophie Calle","4"
"Female","21st","Artist","France","Camille Henrot","3"
"Female","21st","Artist","France","Annette Messager","2"
"Female","21st","Artist","France","Claire Tabouret","2"
"Female","21st","Artist","France","Laure Prouvost","2"
"Female","21st","Artist","Germany","Isa Genzken","3"
"Female","21st","Artist","Germany","Rosemarie Trockel","3"
"Female","21st","Artist","Germany","Katharina Grosse","2"
"Female","21st","Artist","Germany","Alicja Kwade","1"
"Female","21st","Artist","Germany","Anima Gee","1"
"Female","21st","Artist","Mexico","Teresa Margolles","4"
"Female","21st","Artist","Mexico","Betsabeé Romero","2"
"Female","21st","Artist","Mexico","Frida Kahlo","2"
"Female","21st","Artist","Mexico","Minerva Cuevas","2"
"Female","21st","Artist","Mexico","Pia Camil","2"
"Female","21st","Artist","Russia","Olga Chernysheva","3"
"Female","21st","Artist","Russia","Marina Abramovic","2"
"Female","21st","Artist","Russia","Alexandra Paperno","1"
"Female","21st","Artist","Russia","Alina Gutkina","1"
"Female","21st","Artist","Russia","Anna Bogoslovskaya","1"
"Female","21st","Athlete","Norway","Marit Bjoergen","5"
"Female","21st","Athlete","Norway","Therese Johaug","4"
"Female","21st","Athlete","Norway","Ada Hegerberg","3"
"Female","21st","Athlete","Norway","Caroline Graham Hansen","2"
"Female","21st","Athlete","Norway","Arianna Fontana","1"
"Female","21st","Economist","Italy","Mariana Mazzucato","2"
"Female","21st","Economist","Italy","Paola Sapienza","2"
"Female","21st","Economist","Italy","Alessandra Bonfiglioli","1"
"Female","21st","Economist","Italy","Alessandra Casarico","1"
"Female","21st","Economist","Italy","Alessandra Pelloni","1"
"Female","21st","Economist","Mexico","Nora Lustig","3"
"Female","21st","Economist","Mexico","Graciela Márquez Colín","2"
"Female","21st","Economist","Mexico","Alicia Bárcena Ibarra","1"
"Female","21st","Economist","Mexico","Alicia P. García","1"
"Female","21st","Economist","Mexico","Ana Lucía Sojo","1"
"Female","21st","Economist","Poland","Joanna Tyrowicz","3"
"Female","21st","Economist","Poland","Agnieszka Chłoń-Domińczak","2"
"Female","21st","Economist","Poland","Elżbieta Mączyńska","2"
"Female","21st","Economist","Poland","Ewa Balcerowicz","2"
"Female","21st","Economist","Poland","Grażyna Ancyparowicz","2"
"Female","21st","Economist","Portugal","Natália Barbosa","2"
"Female","21st","Economist","Portugal","Ana Paula Caffarelli","1"
"Female","21st","Economist","Portugal","Ana Pessoa","1"
"Female","21st","Economist","Portugal","Ana Rute Cardoso","1"
"Female","21st","Economist","Portugal","Carla Borges","1"
"Female","21st","Economist","South Korea","Kim So-young","3"
"Female","21st","Economist","South Korea","Chang Ha-joon","2"
"Female","21st","Economist","South Korea","Lee Jeong-hwa","2"
"Female","21st","Economist","South Korea","An Min Soo","1"
"Female","21st","Economist","South Korea","Bonggeun Kim","1"
"Female","21st","Economist","United Kingdom","Diane Coyle","5"
"Female","21st","Economist","United Kingdom","Rachel Griffith","4"
"Female","21st","Economist","United Kingdom","Kate Barker","3"
"Female","21st","Economist","United Kingdom","Clare Lombardelli","2"
"Female","21st","Economist","United Kingdom","Kate Raworth","2"
"Female","21st","Inventor","Argentina","María Alejandra Molina","2"
"Female","21st","Inventor","Argentina","Amanda Marenzio.","1"
"Female","21st","Inventor","Argentina","Ana M. M. González","1"
"Female","21st","Inventor","Argentina","Andrea F. M. S. Marín","1"
"Female","21st","Inventor","Argentina","Andrea Gamarnik","1"
"Female","21st","Inventor","Italy","Barbara Mazzolai","3"
"Female","21st","Inventor","Italy","Alessia Cingolani","1"
"Female","21st","Inventor","Italy","Anna T. M. Benassi","1"
"Female","21st","Inventor","Italy","Anna Zappia","1"
"Female","21st","Inventor","Italy","Barbara Ambrosio","1"
"Female","21st","Inventor","Netherlands","Aissa Bentele","1"
"Female","21st","Inventor","Netherlands","Annemiek van Deuren","1"
"Female","21st","Inventor","Netherlands","Anouk Beerentjes","1"
"Female","21st","Inventor","Netherlands","Carina Vinken","1"
"Female","21st","Inventor","Netherlands","Carola van Pul","1"
"Female","21st","Inventor","Turkey","Elif Bilgin","3"
"Female","21st","Inventor","Turkey","Ahu Büyükkuşoğlu Serter","1"
"Female","21st","Inventor","Turkey","Arzum Onan","1"
"Female","21st","Inventor","Turkey","Aslı Cakır","1"
"Female","21st","Musician","Canada","Shania Twain","4"
"Female","21st","Musician","Canada","Alanis Morissette","3"
"Female","21st","Musician","Canada","Grimes","3"
