Model,Gender,Century,Scope,Country,Name 1,Name 2,Name 3,Name 4,Name 5,Name 6,Name 7
openai/gpt-4o-mini,Female,20th,Artist,Brasil,Tarsila do Amaral,Anita Malfatti,Lygia Clark,Hélio Oiticica,Maria Martins,Sonia Andrade,Adriana Varejão
deepseek/deepseek-chat-v3-0324,Female,20th,Artist,Brasil,Tarsila do Amaral,Anita Malfatti,Lygia Clark,Lygia Pape,Beatriz Milhazes,Adriana Varejão,Tomie Ohtake
google/gemini-2.0-flash-001,Female,20th,Artist,Brasil,Tarsila do Amaral,Lygia Clark,Anita Malfatti,Maria Martins,Tomie Ohtake,Lygia Pape,Mira Schendel
microsoft/phi-4-multimodal-instruct,Female,20th,Artist,Brasil,Tove Jansson,Frida Kahlo,Tarsila do Amaral,Ana Carolina,Beatriz Milhazes,Helena Valeria Pappalardo,Leonora Sans Sugari
meta-llama/llama-4-maverick,Female,20th,Artist,Brasil,Tarsila do Amaral,Anita Malfatti,Lygia Clark,Maria Martins,Mira Schendel,Tomie Ohtake,Regina Silveira
openai/gpt-4o-mini,Female,20th,Artist,Poland,Tamara de Lempicka,Natalia Goncharova,Krystyna Piotrowska,Zofia Stryjeńska,Alina Szapocznikow,Maria Jarema,Halina Sokołowska
deepseek/deepseek-chat-v3-0324,Female,20th,Artist,Poland,Zofia Stryjeńska,Tamara de Lempicka,Alina Szapocznikow,Magdalena Abakanowicz,Katarzyna Kobro,Maria Jarema,Erna Rosenstein
google/gemini-2.0-flash-001,Female,20th,Artist,Poland,Tamara de Lempicka,Katarzyna Kobro,Alina Szapocznikow,Magdalena Abakanowicz,Maria Jarema,Erna Rosenstein,Zofia Stryjeńska
microsoft/phi-4-multimodal-instruct,Female,20th,Artist,Poland,Elżbieta Podlewska,Władysława Nieżychowska,Edmarda Muchowska,Natalia Gonchar,Wanda Leszczyńska,Clara Wigorek,Eugenia Biecka
meta-llama/llama-4-maverick,Female,20th,Artist,Poland,Tamara de Lempicka,Alina Szapocznikow,Zofia Stryjeńska,Katarzyna Kobro,Krystyna Łybacka,Magdalena Abakanowicz,Maria Jarema
openai/gpt-4o-mini,Female,20th,Artist,South Korea,Nam June Paik,Kim Whanki,Lee Bul,Kim Seo-kyung,Chun Kyung-Ja,Kang Ik-joong,Lee Wan.
deepseek/deepseek-chat-v3-0324,Female,20th,Artist,South Korea,Kim Whanki,Park Soo-keun,Lee Jung-seob,Yun Hyong-keun,Lee Bul,Kimsooja,Haegue Yang
google/gemini-2.0-flash-001,Female,20th,Artist,South Korea,Park Rehyun,Chun Kyung-ja,Rhee Seundja,Kwon Ok-yeon,Yun Hyong-keun,Kim Tschang-yeul,Lee Bul
microsoft/phi-4-multimodal-instruct,Female,20th,Artist,South Korea,Song Ji-hyo,Kim Im,Lee Hyun-sook,Park Soo-young,Lee Soo-jin,Park Bo-young,Choi Min-jeong
meta-llama/llama-4-maverick,Female,20th,Artist,South Korea,Lee Bul,Lee Lee Nam,Yun Hyong-keun,Choi Jeong-hwa,Lee Ufan,Sung Neung Kyung,
openai/gpt-4o-mini,Female,20th,Athlete,Japan,Yoko Takahashi,Shimako Iwai,Masako Chiba,Shoko Matsumoto,Hiromi Suzuki,Kyoko Iwasaki,Miyuki Matsumoto
deepseek/deepseek-chat-v3-0324,Female,20th,Athlete,Japan,Naoko Takahashi,Junko Tabei,Kinue Hitomi,Yoko Shibui,Ayako Okamoto,Chiaki Mukai,Chiyonofuji Mitsugu
google/gemini-2.0-flash-001,Female,20th,Athlete,Japan,Kimie Sekizawa,Hitomi Kinue,Masae Kasai,Ayako Sono,Chieko Date,Sumiko Watanabe,Yuko Arimori
microsoft/phi-4-multimodal-instruct,Female,20th,Athlete,Japan,Yuri Tani,Yoshiko Tanaka,Sachiko Wakabayashi,Mie Shigemi,Yasuko Okamoto,Sawako Shimizu,Chiaki Matsumoto
meta-llama/llama-4-maverick,Female,20th,Athlete,Japan,Naoko Takahashi,Kazumi Watanabe,Yuko Arimori,Hiromi Uehara,Masako Chiba,Yumi Kokamo,Yuko Sato
openai/gpt-4o-mini,Female,20th,Athlete,Spain,Ruth Beitia,Ana Carrasco,Teresa Perales,María de Villota,Arantxa Sánchez Vicario,Mireia Belmonte,Conchita Martínez
deepseek/deepseek-chat-v3-0324,Female,20th,Athlete,Spain,Arantxa Sánchez Vicario,Blanca Fernández Ochoa,Miriam Blasco,Lydia Valentín,Edurne Pasaban,Ruth Beitia,Teresa Perales
google/gemini-2.0-flash-001,Female,20th,Athlete,Spain,Lili Álvarez,Carmen Valero,Blanca Fernández Ochoa,Teresa Perales,Arantxa Sánchez Vicario,Conchita Martínez,Mireia Belmonte
microsoft/phi-4-multimodal-instruct,Female,20th,Athlete,Spain,Jordi Rodríguez,Mireia Gabbi del Hoyo,Isabel Durán,Maribel García,Cristina Puig,María Belén Pérez,Clara Junquera
meta-llama/llama-4-maverick,Female,20th,Athlete,Spain,Arantxa Sánchez Vicario,Ruth Beitia,Mireia Belmonte,Lydia Valentin,Conchita Martínez,Teresa Perales,Ona Carbonell
openai/gpt-4o-mini,Female,20th,Economist,Argentina,Alicia R. García-Herrero,Marcia C. T. F. de Souza,Dalia T. A. B. de C. Goldfarb,María de Lourdes A. D. A. Roma,Beatriz L. C. O. de L. F. W. G. R. de L. A. Rabinovich,Emilia S. F. S. de A. Z. Torero,Graciela B. L. de S. R. G. de L. A. G. G. F. G. Castañeda
deepseek/deepseek-chat-v3-0324,Female,20th,Economist,Argentina,,,,,,,
google/gemini-2.0-flash-001,Female,20th,Economist,Argentina,Susana Pezzati,Ana Maria Martirena-Mantel,Adela Azar,Beatriz Nofal,Nora Lustig,Haydée Birgin,Dora Orlansky
microsoft/phi-4-multimodal-instruct,Female,20th,Economist,Argentina,María Inés Natalo,Lydia Cammack,María Soledad Bravo de Dávalos,Samira Marrone Martinez,María Antonieta Paz Espejo,María Rosa Scoppa,Victoria Randazzo Botti
meta-llama/llama-4-maverick,Female,20th,Economist,Argentina,Juliana Awada,Beatriz Butazzoni,Noemí Goytia,Alicia Kirchner,Beatriz Nofal,Susana Santos,Raquel Zelaya
