"Name","Gender","Century","Scope","Country","top5_keywords","sent_neg","sent_neu","sent_pos","sent_compound","polarity","subjectivity"
"Tarsila do Amaral","Female","20th","Artist","Brasil","brazilian, tarsila, amaral, andrade, art","0.042","0.821","0.137","0.9715","0.2083333333333333","0.5330882352941175"
"Anita Malfatti","Female","20th","Artist","Brasil","malfatti, lobato, brazilian, anita, art","0.073","0.845","0.082","0.2732","0.11654491341991342","0.5238997113997114"
"Lygia Clark","Female","20th","Artist","Brasil","clark, art, sensory, viewer, objects","0.025","0.907","0.068","0.8225","0.08515406162464988","0.5950980392156862"
"Maria Martins","Female","20th","Artist","Brasil","martins, diplomat, sculptures, campanha, capitals","0.061","0.796","0.143","0.9601","0.11649560117302052","0.46654447702834795"
"Tomie Ohtake","Female","20th","Artist","Brasil","ohtake, brazilian, abstract, keisuke, sugano","0.034","0.794","0.172","0.9847","0.23484848484848486","0.609469696969697"
"Alina Szapocznikow","Female","20th","Artist","Poland","szapocznikow, body, sculptures, foam, pabianice","0.049","0.829","0.122","0.9408","0.06268115942028986","0.4576086956521738"
"Maria Jarema","Female","20th","Artist","Poland","jarema, kraków, artistic, theatre, maria","0.081","0.761","0.158","0.9476","0.23804347826086955","0.6739130434782609"
"Tamara de Lempicka","Female","20th","Artist","Poland","deco, lempicka, tamara, baron, art","0.082","0.768","0.15","0.9617","0.10913043478260868","0.46478260869565213"
"Zofia Stryjeńska","Female","20th","Artist","Poland","stryjeńska, stryjeński, zofia, krakow, decorative","0.114","0.712","0.174","0.9362","0.19445812807881774","0.3708128078817734"
"Katarzyna Kobro","Female","20th","Artist","Poland","kobro, strzemiński, constructivist, spatial, sculptures","0.139","0.759","0.102","-0.9002","0.14351190476190476","0.5472619047619047"
"Lee Bul","Female","20th","Artist","South Korea","bul, lee, utopian, korea, art","0.012","0.83","0.158","0.9839","0.12928787878787878","0.5105151515151516"
"Yun Hyong-keun","Female","20th","Artist","South Korea","yun, korean, dansaekhwa, hyong, keun","0.059","0.882","0.059","-0.4588","0.07962072649572649","0.4796474358974359"
"Chun Kyung-Ja","Female","20th","Artist","South Korea","chun, korean, art, ja, kyung","0.042","0.808","0.15","0.9776","0.18013322884012536","0.5559038662486939"
"Kim Whanki","Female","20th","Artist","South Korea","art, whanki, abstract, korean, kim","0.036","0.938","0.026","-0.4588","0.07938076416337285","0.42233201581027663"
"Park Soo-keun","Female","20th","Artist","South Korea","korean, park, 1965, squares, financial","0.116","0.75","0.134","0.2624","0.05111111111111111","0.5126984126984128"
"Hitomi Kinue","Female","20th","Athlete","Japan","hitomi, jump, kinue, women, japanese","0.053","0.796","0.151","0.9716","0.2086956521739131","0.46956521739130436"
"Kazumi Watanabe","Female","20th","Athlete","Japan","jazz, watanabe, fusion, educator, musicians","0.013","0.86","0.127","0.9583","0.12060606060606062","0.3559090909090909"
"Masako Chiba","Female","20th","Athlete","Japan","chiba, japanese, literary, cues, marker","0.038","0.816","0.145","0.9709","0.0928921568627451","0.3865196078431373"
"Naoko Takahashi","Female","20th","Athlete","Japan","takahashi, marathon, japan, running, koide","0.0","0.765","0.235","0.9947","0.26936363636363636","0.48593939393939395"
"Yuko Arimori","Female","20th","Athlete","Japan","arimori, running, marathon, japanese, barcelona","0.0","0.754","0.246","0.9961","0.12039682539682538","0.3462698412698412"
"Arantxa Sánchez Vicario","Female","20th","Athlete","Spain","vicario, spain, doubles, open, sánchez","0.071","0.756","0.173","0.974","0.2211111111111111","0.38555555555555554"
"Teresa Perales","Female","20th","Athlete","Spain","perales, paralympic, spanish, sydney, games","0.032","0.843","0.125","0.9702","0.203125","0.4822916666666667"
"Conchita Martínez","Female","20th","Athlete","Spain","martínez, tennis, conchita, spanish, professional","0.02","0.82","0.16","0.9871","0.18166666666666664","0.3654761904761904"
"Mireia Belmonte","Female","20th","Athlete","Spain","belmonte, butterfly, freestyle, swimmer, 200m","0.042","0.77","0.188","0.9856","0.22105263157894733","0.46315789473684205"
"Ruth Beitia","Female","20th","Athlete","Spain","beitia, athletics, consistent, outdoors, indoors","0.006","0.772","0.222","0.9942","0.11183908045977012","0.3298275862068964"
"Beatriz Nofal","Female","20th","Economist","Argentina","nofal, industrial, trade, economic, consultant","0.0","0.865","0.135","0.9766","0.13472222222222224","0.3833333333333334"
"Adela Azar","Female","20th","Economist","Argentina","azar, adela, american, shifts, short","0.013","0.904","0.083","0.9062","0.12998737373737376","0.4626893939393939"
"Alicia Kirchner","Female","20th","Economist","Argentina","kirchner, néstor, cruz, santa, alicia","0.018","0.909","0.074","0.8126","0.07743055555555556","0.3121527777777778"
"Alicia R. García-Herrero","Female","20th","Economist","Argentina","herrero, garcía, asia, bank, tank","0.0","0.96","0.04","0.7906","0.06419753086419754","0.1876543209876543"
"Ana Maria Martirena-Mantel","Female","20th","Economist","Argentina","argentine, martirena, argentina, mantel, economic","0.035","0.87","0.095","0.8777","0.12083333333333335","0.2791666666666668"
"Wu Jinglian","Female","20th","Economist","China","wu, jinglian, market, economic, chinese","0.028","0.824","0.147","0.9819","0.12074074074074073","0.29098765432098767"
"Cai Fang","Female","20th","Economist","China","fang, cai, china, cass, demographic","0.009","0.889","0.101","0.9493","0.1662878787878788","0.3579545454545454"
"Fan Gang","Female","20th","Economist","China","gang, china, fan, policy, cass","0.0","0.892","0.108","0.9584","0.17301587301587307","0.298015873015873"
"Li Yining","Female","20th","Economist","China","yining, china, li, reform, chinese","0.01","0.916","0.073","0.9088","0.11130434782608696","0.2800000000000001"
"Chen Daisun","Female","20th","Economist","China","chen, economics, china, thinking, economic","0.04","0.83","0.13","0.9445","0.14578392621870884","0.4273715415019762"
"Elisabeth Liefmann-Keil","Female","20th","Economist","Germany","keil, liefmann, brain, neuropathology, elisabeth","0.063","0.884","0.052","-0.3447","0.03631237183868763","0.40863522442469813"
"Marianne Weber","Female","20th","Economist","Germany","weber, marianne, max, intellectual, sociologist","0.047","0.822","0.131","0.9509","0.12857142857142856","0.4349206349206349"
