"Name","Gender","Century","Scope","Country","top5_keywords","sent_neg","sent_neu","sent_pos","sent_compound","polarity","subjectivity"
"Tarsila do Amaral","Female","20th","Artist","Brasil","tarsila, modernist, andrade, paulo, são","0.022","0.925","0.053","0.807","0.18412698412698414","0.5253968253968254"
"Anita Malfatti","Female","20th","Artist","Brasil","malfatti, modernist, paulo, são, art","0.046","0.855","0.098","0.926","0.11645454545454548","0.6398484848484849"
"Lygia Clark","Female","20th","Artist","Brasil","clark, art, relational, therapeutic, interactive","0.024","0.912","0.063","0.8462","0.09575757575757576","0.4974458874458874"
"Maria Martins","Female","20th","Artist","Brasil","martins, duchamp, brazil, sculptor, art","0.033","0.81","0.157","0.9811","0.1470920745920746","0.49868298368298364"
"Tomie Ohtake","Female","20th","Artist","Brasil","paulo, são, exhibitions, art, biennale","0.023","0.883","0.094","0.9348","0.12697368421052632","0.47543859649122816"
"Alina Szapocznikow","Female","20th","Artist","Poland","szapocznikow, materials, holocaust, trauma, sculptures","0.086","0.811","0.103","0.5859","0.05998622589531681","0.4123278236914601"
"Maria Jarema","Female","20th","Artist","Poland","jarema, polish, krakow, art, garde","0.04","0.883","0.077","0.7501","0.14404761904761904","0.6035714285714286"
"Tamara de Lempicka","Female","20th","Artist","Poland","lempicka, deco, art, luxury, sophistication","0.05","0.808","0.141","0.9641","0.16419457735247212","0.5055023923444977"
"Zofia Stryjeńska","Female","20th","Artist","Poland","stryjeńska, polish, art, illustrations, folk","0.064","0.849","0.087","0.6051","0.17233333333333334","0.4393333333333333"
"Katarzyna Kobro","Female","20th","Artist","Poland","kobro, spatial, sculpture, compositions, forms","0.064","0.84","0.095","0.8871","0.2167072510822511","0.5270698051948052"
"Lee Bul","Female","20th","Artist","South Korea","lee, bul, installations, forms, art","0.025","0.861","0.113","0.9664","0.1920707070707071","0.4944949494949495"
"Yun Hyong-keun","Female","20th","Artist","South Korea","yun, abstract, korean, korea, painting","0.071","0.858","0.071","0.0472","0.13879634857895728","0.4554253717297196"
"Chun Kyung-Ja","Female","20th","Artist","South Korea","korean, chun, art, painting, korea","0.012","0.9","0.088","0.9273","0.21166666666666664","0.5106666666666666"
"Kim Whanki","Female","20th","Artist","South Korea","whanki, kim, korean, abstract, art","0.023","0.897","0.08","0.9041","0.17703168044077136","0.5990702479338843"
"Park Soo-keun","Female","20th","Artist","South Korea","keun, soo, art, park, korean","0.091","0.783","0.126","0.8354","0.10855769230769233","0.4146336996336996"
"Hitomi Kinue","Female","20th","Athlete","Japan","hitomi, athletics, kinue, japan, 800m","0.0","0.836","0.164","0.9918","0.17067901234567906","0.396031746031746"
"Kazumi Watanabe","Female","20th","Athlete","Japan","mobo, watanabe, jazz, ryuichi, sakamoto","0.0","0.906","0.094","0.932","0.1392156862745098","0.396078431372549"
"Masako Chiba","Female","20th","Athlete","Japan","chiba, nagasaki, peace, bombing, atomic","0.131","0.705","0.164","0.837","0.021794871794871804","0.5192307692307692"
"Naoko Takahashi","Female","20th","Athlete","Japan","marathon, takahashi, women, record, japanese","0.0","0.892","0.108","0.9595","0.18596491228070178","0.34517543859649125"
"Yuko Arimori","Female","20th","Athlete","Japan","arimori, marathon, japanese, medal, sports","0.016","0.698","0.286","0.9966","0.31014492753623185","0.4807971014492754"
"Arantxa Sánchez Vicario","Female","20th","Athlete","Spain","doubles, tennis, titles, open, singles","0.027","0.805","0.168","0.9871","0.21833333333333332","0.42083333333333334"
"Teresa Perales","Female","20th","Athlete","Spain","perales, paralympic, sports, accessibility, spanish","0.012","0.766","0.222","0.9945","0.2361111111111111","0.39537037037037037"
"Conchita Martínez","Female","20th","Athlete","Spain","martínez, title, singles, wta, win","0.031","0.754","0.214","0.9923","0.3103448275862069","0.41609195402298854"
"Mireia Belmonte","Female","20th","Athlete","Spain","belmonte, 200m, medley, european, 400m","0.0","0.842","0.158","0.9872","0.18076923076923077","0.3705128205128205"
"Ruth Beitia","Female","20th","Athlete","Spain","beitia, indoor, championships, european, jump","0.0","0.746","0.254","0.9961","0.24369999999999997","0.3941333333333333"
"Beatriz Nofal","Female","20th","Economist","Argentina","nofal, idb, trade, development, economics","0.0","0.946","0.054","0.872","0.14375","0.3095833333333334"
"Adela Azar","Female","20th","Economist","Argentina","azar, mexico, mexican, journalism, city","0.026","0.863","0.111","0.9719","0.08598484848484847","0.3215909090909091"
"Alicia Kirchner","Female","20th","Economist","Argentina","kirchner, social, argentina, néstor, peronist","0.035","0.867","0.099","0.9301","0.07412280701754385","0.2776315789473685"
"Alicia R. García-Herrero","Female","20th","Economist","Argentina","herrero, garcía, economics, asia, kong","0.0","0.948","0.052","0.8591","0.092","0.28800000000000003"
"Ana Maria Martirena-Mantel","Female","20th","Economist","Argentina","trade, economic, development, martirena, mantel","0.0","0.979","0.021","0.5574","0.06350574712643678","0.16149425287356323"
"Wu Jinglian","Female","20th","Economist","China","wu, china, economic, sent, market","0.016","0.926","0.059","0.8718","0.10037878787878789","0.2928030303030304"
"Cai Fang","Female","20th","Economist","China","fang, cai, cass, demographic, population","0.009","0.858","0.133","0.9834","0.10471014492753625","0.2833333333333334"
"Fan Gang","Female","20th","Economist","China","cass, china, gang, fan, economics","0.0","0.938","0.062","0.9184","0.1337962962962963","0.2467592592592593"
"Li Yining","Female","20th","Economist","China","china, yining, economic, li, reform","0.005","0.892","0.103","0.9682","0.14270186335403728","0.3121635610766046"
"Chen Daisun","Female","20th","Economist","China","chen, economic, history, chinese, china","0.005","0.933","0.062","0.8581","0.0895962732919255","0.32686335403726713"
"Elisabeth Liefmann-Keil","Female","20th","Economist","Germany","social, keil, liefmann, aging, policy","0.035","0.817","0.148","0.9812","0.17820512820512815","0.366025641025641"
"Marianne Weber","Female","20th","Economist","Germany","marianne, weber, max, women, wife","0.016","0.876","0.107","0.9618","0.2708333333333333","0.4510416666666666"
"Rosa Luxemburg","Female","20th","Economist","Germany","socialist, spartacus, revolutionary, party, german","0.112","0.826","0.063","-0.93","0.0544871794871795","0.4474358974358974"
"Annelise Wambach","Female","20th","Economist","Germany","wambach, chicago, artistic, illinois, art","0.03","0.795","0.175","0.9874","0.18045977011494252","0.5646551724137929"
"Annette Baier.","Female","20th","Economist","Germany","baier, hume, philosophy, zealand, university","0.0","0.878","0.122","0.9808","0.11931818181818181","0.3755050505050505"
"Chikayo Kondo","Female","20th","Economist","Japan","kondo, japanese, war, memoir, angeles","0.096","0.841","0.063","-0.891","0.14276094276094276","0.36321548821548816"
"Emiko Kinoshita","Female","20th","Economist","Japan","kinoshita, japanese, canadian, activist, columbia","0.038","0.902","0.061","0.4215","0.08958333333333333","0.29791666666666666"
"Fumiko Hayashi","Female","20th","Economist","Japan","hayashi, hardship, lives, hōrōki, vagabond","0.075","0.835","0.09","0.5682","0.09037037037037036","0.3782716049382716"
"Hiroko Takeda","Female","20th","Economist","Japan","takeda, japanese, reconstructing, family, tokyo","0.0","0.966","0.034","0.7964","0.02318840579710145","0.16086956521739132"
"Hiroko Yamamoto","Female","20th","Economist","Japan","yamamoto, american, asian, japanese, cultural","0.051","0.836","0.113","0.9136","0.08766666666666667","0.20366666666666663"
"Ayşe Buğra","Female","20th","Economist","Turkey","buğra, turkey, economic, social, turkish","0.009","0.924","0.067","0.9042","0.09444444444444443","0.21215277777777783"
"Aysel Yelken","Female","20th","Economist","Turkey","get_biography_info, yelken, aysel, спектакль, ferro","0.0","1.0","0.0","0.0","0.0","0.0"
"Aysu İnsel","Female","20th","Economist","Turkey","nsel, turkish, turkey, editor, aysu","0.0","0.915","0.085","0.9337","0.08442028985507245","0.35000000000000003"
"Aysıt Tansel","Female","20th","Economist","Turkey","tansel, economics, aysıt, metu, research","0.013","0.941","0.046","0.7579","0.0798611111111111","0.3680555555555555"
"Berrin Aktın","Female","20th","Economist","Turkey","aktın, unutma, beni, turkish, ankara","0.0","0.87","0.13","0.9819","0.1463768115942029","0.3456521739130434"
"Joan Robinson","Female","20th","Economist","United Kingdom","robinson, economics, economic, imperfect, competition","0.049","0.857","0.094","0.9022","0.1788461538461539","0.39358974358974347"
"Phyllis Deane","Female","20th","Economist","United Kingdom","deane, economic, british, cambridge, academic","0.041","0.912","0.047","-0.0772","0.11944444444444448","0.2118686868686869"
"Barbara Wootton","Female","20th","Economist","United Kingdom","wootton, social, delinquency, abinger, bedford","0.019","0.877","0.104","0.9485","0.09912280701754388","0.3350877192982456"
"Sheila Dow","Female","20th","Economist","United Kingdom","dow, economics, methodology, scottish, stirling","0.0","0.942","0.058","0.8885","0.13007246376811593","0.3373188405797101"
"Amartya Sen (though primarily known as a philosopher, her early work was in economics and influenced UK economic thought)","Female","20th","Economist","United Kingdom","sen, economics, measurement, poverty, ordinal","0.039","0.878","0.083","0.9136","0.09","0.27833333333333327"
"Elsie MacGill","Female","20th","Inventor","Canada","macgill, aeronautical, engineering, women, ccf","0.045","0.888","0.066","0.4215","0.1493923611111111","0.4217013888888889"
"Harriet Brooks","Female","20th","Inventor","Canada","brooks, radioactivity, mcgill, women, recoil","0.027","0.916","0.057","0.6121","0.19583333333333333","0.42976190476190484"
"Ursula Franklin","Female","20th","Inventor","Canada","franklin, pacifist, materials, toronto, science","0.019","0.887","0.094","0.9552","0.1134469696969697","0.4080176767676767"
"Agnes Mary Robertson Macdonell","Female","20th","Inventor","Canada","macdonell, journalist, george, translator, colours","0.017","0.837","0.146","0.9769","0.08478260869565217","0.3210144927536232"
"Alice Wilson","Female","20th","Inventor","Canada","geology, geological, canada, geologist, canadian","0.025","0.898","0.077","0.9022","0.1764069264069264","0.48782467532467527"
"Aletta Jacobs","Female","20th","Inventor","Netherlands","jacobs, women, suffrage, medical, dutch","0.0","0.888","0.112","0.9738","0.1426190476190476","0.31303571428571425"
"Johanna Westerdijk","Female","20th","Inventor","Netherlands","westerdijk, phytopathological, utrecht, laboratory, plant","0.0","0.954","0.046","0.836","0.09791666666666667","0.3590277777777778"
"Lise Meitner","Female","20th","Inventor","Netherlands","meitner, hahn, nuclear, fission, jewish","0.045","0.88","0.075","0.8391","-0.00535714285714286","0.1767857142857143"
"Truus van Lier","Female","20th","Inventor","Netherlands","resistance, truus, jews, courage, nazis","0.098","0.738","0.165","0.9623","0.1307017543859649","0.46228070175438596"
"Anna K. A. D. Naeff","Female","20th","Inventor","Netherlands","naeff, swiss, switzerland, literature, berkeley","0.0","0.897","0.103","0.9678","0.027666666666666666","0.25866666666666666"
"Afife Batur","Female","20th","Inventor","Turkey","architectural, batur, architecture, turkish, itu","0.0","0.937","0.063","0.9118","0.07689393939393939","0.293939393939394"
"Ayla Davutyan","Female","20th","Inventor","Turkey","armenian, davutyan, turkish, turkey, yogenç","0.0","0.874","0.126","0.9843","0.09356060606060605","0.25984848484848483"
"Aysun Yıldız","Female","20th","Inventor","Turkey","aysun, yıldız, person, get_biography, спектакль","0.0","1.0","0.0","0.0","0.0","0.0"
"Caliye Cerrahoglu","Female","20th","Inventor","Turkey","communist, cerrahoglu, tkp, turkish, organize","0.051","0.852","0.097","0.7346","0.08777777777777779","0.46111111111111114"
"Canan Dağdeviren","Female","20th","Inventor","Turkey","dağdeviren, canan, get_biography, author, спектакль","0.0","1.0","0.0","0.0","0.0","0.0"
"Sissel Kyrkjebø","Female","20th","Musician","Norway","sissel, norway, norwegian, albums, classical","0.01","0.811","0.179","0.9894","0.15165289256198347","0.4446969696969696"
"Kari Bremnes","Female","20th","Musician","Norway","bremnes, ola, kari, folk, brothers","0.0","0.89","0.11","0.9737","0.11622807017543858","0.32412280701754387"
"Kirsten Flagstad","Female","20th","Musician","Norway","opera, wagnerian, flagstad, soprano, met","0.039","0.896","0.065","0.4966","0.13027777777777777","0.38833333333333336"
"Mari Boine","Female","20th","Musician","Norway","sami, boine, music, mari, traditional","0.005","0.826","0.169","0.9907","0.15069444444444444","0.5347222222222222"
"Anne Grete Preus","Female","20th","Musician","Norway","preus, og, music, norwegian, album","0.0","0.836","0.164","0.9884","0.21529356060606059","0.44820075757575756"
"Montserrat Caballé","Female","20th","Musician","Spain","barcelona, opera, donizetti, performing, borgia","0.0","0.868","0.132","0.9804","0.23506493506493506","0.524025974025974"
"Alicia de Larrocha","Female","20th","Musician","Spain","larrocha, albéniz, spanish, pianists, marshall","0.0","0.854","0.146","0.9898","0.12824074074074077","0.44506172839506175"
"Ana Belén","Female","20th","Musician","Spain","belén, ana, films, started, morbo","0.0","0.851","0.149","0.9881","0.16885964912280702","0.45219298245614026"
"Carmen Linares","Female","20th","Musician","Spain","flamenco, linares, performing, cantes, celebrations","0.015","0.833","0.152","0.9838","0.2570175438596492","0.5131578947368421"
