"Name","Gender","Century","Scope","Country","top5_keywords","sent_neg","sent_neu","sent_pos","sent_compound","polarity","subjectivity"
"Tarsila do Amaral","Female","20th","Artist","Brasil","tarsila, brazilian, art, modernism, painter","0.021","0.909","0.07","0.8481","0.15370370370370373","0.4527777777777777"
"Anita Malfatti","Female","20th","Artist","Brasil","malfatti, anita, rio, brazilian, expressionist","0.097","0.811","0.092","-0.0883","0.08967698967698969","0.4015026640026641"
"Lygia Clark","Female","20th","Artist","Brasil","clark, lygia, art, são, paulo","0.03","0.86","0.11","0.9231","0.19652777777777777","0.6048611111111112"
"Maria Martins","Female","20th","Artist","Brasil","martins, art, exhibition, african, artistic","0.02","0.841","0.139","0.984","0.20597477235408268","0.5866920435885953"
"Tomie Ohtake","Female","20th","Artist","Brasil","ohtake, dramas, anime, rin, tomie","0.023","0.853","0.124","0.981","0.18908045977011495","0.3603448275862069"
"Alina Szapocznikow","Female","20th","Artist","Poland","szapocznikow, irvine, polish, pen, jewish","0.037","0.798","0.165","0.9872","0.16442307692307695","0.3919871794871794"
"Maria Jarema","Female","20th","Artist","Poland","jarema, children, australia, little, maria","0.066","0.805","0.129","0.941","0.1206439393939394","0.4864718614718614"
"Tamara de Lempicka","Female","20th","Artist","Poland","lempicka, deco, art, self, portraits","0.089","0.796","0.115","0.6452","0.2207070707070707","0.6699494949494951"
"Zofia Stryjeńska","Female","20th","Artist","Poland","stryjeńska, polish, warsaw, zofia, paper","0.061","0.861","0.079","0.875","0.09511494252873566","0.23074712643678155"
"Katarzyna Kobro","Female","20th","Artist","Poland","kobro, kinetic, sculpture, spatial, katarzyna","0.022","0.906","0.071","0.9166","0.10865384615384616","0.39711538461538454"
"Lee Bul","Female","20th","Artist","South Korea","bul, lee, clear, snowman, sung","0.012","0.836","0.152","0.9625","0.16611111111111113","0.37722222222222224"
"Yun Hyong-keun","Female","20th","Artist","South Korea","yun, korean, hyong, keun, literature","0.0","0.852","0.148","0.9832","0.1535714285714286","0.3476190476190476"
"Chun Kyung-Ja","Female","20th","Artist","South Korea","chun, kyung, ja, korean, literary","0.027","0.811","0.162","0.9893","0.11640625000000002","0.24531249999999993"
"Kim Whanki","Female","20th","Artist","South Korea","whanki, korean, guest, south, iowa","0.107","0.709","0.183","0.9731","0.056451612903225805","0.41666666666666663"
"Park Soo-keun","Female","20th","Artist","South Korea","park, korean, keun, soo, korea","0.071","0.823","0.105","0.8519","0.05694444444444444","0.3225694444444444"
"Hitomi Kinue","Female","20th","Athlete","Japan","kinue, japanese, translation, translator, translating","0.0","0.842","0.158","0.9882","0.008695652173913042","0.2101449275362319"
"Kazumi Watanabe","Female","20th","Athlete","Japan","watanabe, japanese, kazumi, literary, shinkankakuha","0.023","0.883","0.094","0.9735","0.10835326953748006","0.3825956937799042"
"Masako Chiba","Female","20th","Athlete","Japan","chiba, japanese, works, cocktail, masako","0.0","0.866","0.134","0.9623","0.08269230769230769","0.2243589743589744"
"Naoko Takahashi","Female","20th","Athlete","Japan","takahashi, japanese, caramel, fantasy, magic","0.013","0.769","0.217","0.996","0.21666666666666662","0.46931818181818186"
"Yuko Arimori","Female","20th","Athlete","Japan","arimori, yuko, fiction, science, genre","0.0","0.84","0.16","0.984","0.20131578947368423","0.40438596491228074"
"Arantxa Sánchez Vicario","Female","20th","Athlete","Spain","vicario, sánchez, tennis, spanish, open","0.036","0.771","0.193","0.9914","0.21973581973581974","0.42533022533022535"
"Teresa Perales","Female","20th","Athlete","Spain","perales, chicana, teresa, mexican, american","0.012","0.904","0.084","0.9377","0.15500000000000003","0.34233333333333327"
"Conchita Martínez","Female","20th","Athlete","Spain","martínez, tennis, conchita, slam, vicario","0.06","0.748","0.192","0.9872","0.2723039215686274","0.589950980392157"
"Mireia Belmonte","Female","20th","Athlete","Spain","mireia, belmonte, swimming, athlete, paralympics","0.0","0.773","0.227","0.9948","0.22875","0.44250000000000006"
"Ruth Beitia","Female","20th","Athlete","Spain","beitia, gold, athletes, medals, youth","0.0","0.775","0.225","0.9904","0.18018518518518523","0.35731481481481486"
"Beatriz Nofal","Female","20th","Economist","Argentina","nofal, argentine, buenos, aires, vendida","0.065","0.832","0.103","0.765","0.028888888888888888","0.30444444444444446"
"Adela Azar","Female","20th","Economist","Argentina","azar, romanian, romania, barbu, cafenea","0.059","0.848","0.093","0.8319","0.12660256410256412","0.40801282051282056"
"Alicia Kirchner","Female","20th","Economist","Argentina","kirchner, argentine, alicia, folklore, literature","0.021","0.827","0.153","0.9877","0.1203088578088578","0.38767482517482504"
"Alicia R. García-Herrero","Female","20th","Economist","Argentina","science, herrero, garcía, communication, public","0.0","0.853","0.147","0.9899","0.16124999999999998","0.3966666666666666"
"Ana Maria Martirena-Mantel","Female","20th","Economist","Argentina","martirena, mantel, catalan, prize, barcelona","0.016","0.842","0.142","0.9861","0.1017857142857143","0.46517857142857144"
"Wu Jinglian","Female","20th","Economist","China","wu, china, jinglian, fudan, economic","0.0","0.935","0.065","0.9306","0.10618279569892473","0.35806451612903223"
"Cai Fang","Female","20th","Economist","China","fang, cai, chinese, revolution, restored","0.016","0.846","0.138","0.9774","0.04166666666666667","0.22282608695652173"
"Fan Gang","Female","20th","Economist","China","gang, fan, chinese, peking, reflecting","0.022","0.764","0.214","0.9957","0.0922021943573668","0.3685475444096133"
"Li Yining","Female","20th","Economist","China","li, yining, chinese, province, beijing","0.01","0.852","0.138","0.9726","0.06291666666666666","0.23833333333333329"
"Chen Daisun","Female","20th","Economist","China","chen, chinese, communist, china, greatly","0.071","0.844","0.085","0.4215","0.11698717948717952","0.27403846153846145"
"Elisabeth Liefmann-Keil","Female","20th","Economist","Germany","liefmann, keil, kassette, waldgang, german","0.04","0.776","0.184","0.9871","0.128","0.4093333333333332"
"Marianne Weber","Female","20th","Economist","Germany","weber, marianne, women, protestant, max","0.014","0.896","0.09","0.9544","0.16842105263157894","0.35438596491228064"
"Rosa Luxemburg","Female","20th","Economist","Germany","luxemburg, marxist, socialist, resistance, zamość","0.059","0.842","0.1","0.534","0.09074074074074073","0.18148148148148147"
"Annelise Wambach","Female","20th","Economist","Germany","wambach, soccer, uswnt, anneliese, league","0.0","0.795","0.205","0.9964","0.18396836007130124","0.39329322638146164"
"Annette Baier.","Female","20th","Economist","Germany","baier, holyoke, philosophy, annette, ethics","0.013","0.841","0.146","0.9796","0.08393141945773525","0.41383572567783095"
"Chikayo Kondo","Female","20th","Economist","Japan","kondo, jar, children, learning, multicultural","0.0","0.819","0.181","0.9945","0.22526041666666663","0.3966145833333333"
"Emiko Kinoshita","Female","20th","Economist","Japan","kinoshita, emiko, japanese, literature, kusamakura","0.037","0.849","0.114","0.9325","0.08947368421052633","0.3916666666666666"
"Fumiko Hayashi","Female","20th","Economist","Japan","hayashi, fumiko, japanese, 1951, ishikawa","0.145","0.712","0.143","-0.3506","0.07708333333333332","0.37529761904761905"
"Hiroko Takeda","Female","20th","Economist","Japan","takeda, tenchi, manga, ryo, ohki","0.042","0.801","0.157","0.9774","0.23683712121212122","0.44416386083052756"
"Hiroko Yamamoto","Female","20th","Economist","Japan","yamamoto, shimbun, japanese, publishing, smokes","0.0","0.896","0.104","0.9575","0.0935185185185185","0.3842592592592593"
"Ayşe Buğra","Female","20th","Economist","Turkey","buğra, ottoman, turkish, nationalism, turkey","0.0","0.913","0.087","0.9524","0.035763888888888894","0.32326388888888885"
"Aysel Yelken","Female","20th","Economist","Turkey","yelken, children, aysel, turkish, book","0.011","0.824","0.165","0.9849","0.18409090909090908","0.3969696969696969"
"Aysu İnsel","Female","20th","Economist","Turkey","nsel, turkish, aysu, poetry, kemal","0.0","0.821","0.179","0.9889","0.16800144300144298","0.4807720057720057"
"Aysıt Tansel","Female","20th","Economist","Turkey","tansel, turkish, aysıt, kız, journalistic","0.01","0.878","0.112","0.9623","0.09675925925925927","0.2939814814814814"
"Berrin Aktın","Female","20th","Economist","Turkey","aktın, film, evde, düşer, aslanlar","0.0","0.796","0.204","0.9958","0.18214285714285708","0.3573809523809523"
"Joan Robinson","Female","20th","Economist","United Kingdom","robinson, economics, keynesian, cambridge, economic","0.06","0.825","0.115","0.9325","0.13134057971014496","0.36847826086956514"
"Phyllis Deane","Female","20th","Economist","United Kingdom","deane, economic, newnham, industrial, cambridge","0.0","0.884","0.116","0.9758","0.13840579710144932","0.22608695652173913"
"Barbara Wootton","Female","20th","Economist","United Kingdom","wootton, barbara, british, social, service","0.027","0.841","0.132","0.9738","0.08480392156862746","0.23210784313725488"
"Sheila Dow","Female","20th","Economist","United Kingdom","dow, sheila, play, theatre, british","0.043","0.754","0.203","0.9943","0.17117904617904617","0.37510710010710013"
"Amartya Sen (though primarily known as a philosopher, her early work was in economics and influenced UK economic thought)","Female","20th","Economist","United Kingdom","sen, famine, economics, development, poverty","0.034","0.865","0.101","0.8979","0.09393939393939395","0.2696969696969697"
"Elsie MacGill","Female","20th","Inventor","Canada","macgill, engineering, raf, british, royce","0.031","0.873","0.096","0.9531","0.16441798941798944","0.34272486772486777"
"Harriet Brooks","Female","20th","Inventor","Canada","brooks, toronto, harriet, rays, woman","0.018","0.873","0.109","0.9743","0.1787037037037037","0.4782407407407408"
"Ursula Franklin","Female","20th","Inventor","Canada","franklin, technology, science, ethical, harwell","0.04","0.786","0.174","0.9934","0.1179824561403509","0.40394736842105256"
"Agnes Mary Robertson Macdonell","Female","20th","Inventor","Canada","macdonell, victoria, wolfings, native, social","0.008","0.821","0.171","0.9915","0.11666666666666668","0.3558333333333332"
"Alice Wilson","Female","20th","Inventor","Canada","wilson, african, american, education, methodist","0.039","0.916","0.045","-0.0258","0.09198717948717951","0.2086538461538461"
"Aletta Jacobs","Female","20th","Inventor","Netherlands","jacobs, medical, jacob, women, aletta","0.01","0.87","0.12","0.9788","0.14423076923076922","0.3477564102564102"
"Johanna Westerdijk","Female","20th","Inventor","Netherlands","fungi, westerdijk, antilles, johanna, botanist","0.0","0.947","0.053","0.7579","0.19423076923076923","0.4358974358974359"
"Lise Meitner","Female","20th","Inventor","Netherlands","meitner, nuclear, fission, nephew, otto","0.028","0.871","0.1","0.9559","0.15576923076923077","0.3987179487179488"
"Truus van Lier","Female","20th","Inventor","Netherlands","lier, van, truus, art, printmaking","0.022","0.773","0.205","0.9923","0.2105681818181818","0.5648106060606061"
"Anna K. A. D. Naeff","Female","20th","Inventor","Netherlands","naeff, children, klipspringer, tales, fairy","0.03","0.806","0.164","0.9851","0.13732638888888893","0.29097222222222224"
"Afife Batur","Female","20th","Inventor","Turkey","batur, turkish, afife, theater, existentialism","0.026","0.823","0.151","0.9753","0.09665071770334928","0.4585725677830941"
"Ayla Davutyan","Female","20th","Inventor","Turkey","davutyan, creative, film, armenian, sirens","0.02","0.843","0.137","0.9831","0.12569444444444444","0.37048611111111107"
"Aysun Yıldız","Female","20th","Inventor","Turkey","yıldız, turkish, aysun, günler, turkey","0.0","0.861","0.139","0.9858","0.09028787878787879","0.3258484848484848"
"Caliye Cerrahoglu","Female","20th","Inventor","Turkey","cerrahoglu, turkish, istanbul, modernization, women","0.021","0.836","0.142","0.989","0.12006172839506177","0.3626543209876542"
"Canan Dağdeviren","Female","20th","Inventor","Turkey","dağdeviren, canan, turkish, 58, serpent","0.027","0.785","0.188","0.9871","0.18309228650137746","0.3426308539944903"
"Sissel Kyrkjebø","Female","20th","Musician","Norway","kyrkjebø, norwegian, music, composer, classical","0.0","0.817","0.183","0.9925","0.19345238095238096","0.30178571428571427"
"Kari Bremnes","Female","20th","Musician","Norway","bremnes, wilhelmsen, snake, glass, police","0.049","0.754","0.196","0.9928","0.1843344155844156","0.4510551948051948"
"Kirsten Flagstad","Female","20th","Musician","Norway","flagstad, opera, wagner, operettas, operas","0.059","0.822","0.119","0.9299","0.13641975308641976","0.458641975308642"
"Mari Boine","Female","20th","Musician","Norway","boine, sami, joik, sámi, mari","0.008","0.869","0.123","0.9818","0.10291666666666668","0.4341666666666667"
"Anne Grete Preus","Female","20th","Musician","Norway","preus, norwegian, grete, anne, norway","0.015","0.838","0.147","0.9876","0.09753086419753088","0.27499999999999997"
"Montserrat Caballé","Female","20th","Musician","Spain","caballé, opera, montserrat, repertoire, music","0.0","0.801","0.199","0.9925","0.23393065268065266","0.41940559440559444"
"Alicia de Larrocha","Female","20th","Musician","Spain","larrocha, pianists, alicia, concert, piano","0.004","0.857","0.139","0.9888","0.1840909090909091","0.38735431235431234"
"Ana Belén","Female","20th","Musician","Spain","belén, spanish, ana, actress, singer","0.0","0.8","0.2","0.9935","0.14583333333333331","0.31944444444444436"
"Carmen Linares","Female","20th","Musician","Spain","linares, la, ofrenda, carmen, mexican","0.035","0.875","0.089","0.9246","0.1068293885601578","0.30461045364891515"
"Victoria de los Ángeles","Female","20th","Musician","Spain","ángeles, victoria, los, music, latin","0.006","0.866","0.128","0.9832","0.17746913580246912","0.41913580246913573"
"Aretha Franklin","Female","20th","Musician","United States","franklin, civil, 1967, rights, ronettes","0.053","0.781","0.166","0.977","0.12692307692307694","0.541025641025641"
"Billie Holiday","Female","20th","Musician","United States","holiday, jazz, nightclub, heywood, owner","0.136","0.731","0.133","-0.499","0.17901785714285715","0.5199404761904762"
