"Name","Gender","Century","Scope","Country","top5_keywords","sent_neg","sent_neu","sent_pos","sent_compound","polarity","subjectivity"
"Tarsila do Amaral","Female","20th","Artist","Brasil","tarsila, brazilian, art, paulo, são","0.033","0.819","0.148","0.9776","0.1871527777777778","0.4378472222222222"
"Anita Malfatti","Female","20th","Artist","Brasil","malfatti, brazilian, art, brazil, modernism","0.034","0.859","0.107","0.9144","0.1351449275362319","0.5192028985507245"
"Lygia Clark","Female","20th","Artist","Brasil","clark, art, lygia, abstract, participation","0.014","0.908","0.078","0.9371","0.07685185185185185","0.44351851851851853"
"Maria Martins","Female","20th","Artist","Brasil","martins, art, brazil, brazilian, maria","0.01","0.909","0.081","0.8968","0.21875","0.5416666666666666"
"Tomie Ohtake","Female","20th","Artist","Brasil","ohtake, art, brazilian, paulo, são","0.009","0.838","0.153","0.9858","0.1277892561983471","0.39944903581267216"
"Alina Szapocznikow","Female","20th","Artist","Poland","szapocznikow, sculpture, artistic, warsaw, war","0.062","0.824","0.114","0.906","0.19459876543209872","0.5450617283950618"
"Maria Jarema","Female","20th","Artist","Poland","jarema, art, kraków, polish, poland","0.058","0.8","0.142","0.9607","0.13969155844155845","0.5305194805194804"
"Tamara de Lempicka","Female","20th","Artist","Poland","deco, lempicka, tamara, art, wealthy","0.053","0.831","0.116","0.9035","0.1233901515151515","0.45886994949494947"
"Zofia Stryjeńska","Female","20th","Artist","Poland","stryjeńska, polish, 1976, vibrant, heritage","0.045","0.774","0.181","0.9909","0.1491376902667225","0.4999162128194386"
"Katarzyna Kobro","Female","20th","Artist","Poland","kobro, polish, pieces, abstract, 1951","0.08","0.827","0.093","0.1531","0.1902777777777778","0.5458333333333333"
"Lee Bul","Female","20th","Artist","South Korea","lee, bul, art, sculptures, biennale","0.015","0.839","0.146","0.9868","0.18669077134986226","0.47861570247933893"
"Yun Hyong-keun","Female","20th","Artist","South Korea","yun, korean, art, paintings, avant","0.012","0.838","0.149","0.9886","0.12767857142857145","0.4794642857142857"
"Chun Kyung-Ja","Female","20th","Artist","South Korea","chun, ja, women, kyung, korean","0.036","0.821","0.143","0.979","0.12373737373737374","0.4366477272727272"
"Kim Whanki","Female","20th","Artist","South Korea","whanki, art, abstraction, korea, york","0.02","0.893","0.088","0.9427","0.08186868686868685","0.3889141414141414"
"Park Soo-keun","Female","20th","Artist","South Korea","korean, park, korea, keun, soo","0.085","0.79","0.125","0.7876","0.14734848484848484","0.49545454545454537"
"Hitomi Kinue","Female","20th","Athlete","Japan","kinue, hitomi, japan, kōfu, japanese","0.031","0.835","0.134","0.9821","0.09635416666666667","0.3703124999999999"
"Kazumi Watanabe","Female","20th","Athlete","Japan","watanabe, jazz, kazumi, japan, john","0.008","0.819","0.173","0.991","0.13273809523809524","0.4470238095238095"
"Masako Chiba","Female","20th","Athlete","Japan","chiba, masako, japanese, writing, literary","0.02","0.85","0.13","0.9776","0.09095796676441836","0.34718963831867056"
