Name,Gender,Century,Scope,Country,DeepSeek_top5_keywords,DeepSeek_sent_neg,DeepSeek_sent_neu,DeepSeek_sent_pos,DeepSeek_sent_compound,DeepSeek_polarity,DeepSeek_subjectivity,Gemini_top5_keywords,Gemini_sent_neg,Gemini_sent_neu,Gemini_sent_pos,Gemini_sent_compound,Gemini_polarity,Gemini_subjectivity,Llama_top5_keywords,Llama_sent_neg,Llama_sent_neu,Llama_sent_pos,Llama_sent_compound,Llama_polarity,Llama_subjectivity,Phi_top5_keywords,Phi_sent_neg,Phi_sent_neu,Phi_sent_pos,Phi_sent_compound,Phi_polarity,Phi_subjectivity,ChatGPT_top5_keywords,ChatGPT_sent_neg,ChatGPT_sent_neu,ChatGPT_sent_pos,ChatGPT_sent_compound,ChatGPT_polarity,ChatGPT_subjectivity
Tarsila do Amaral,Female,20th,Artist,Brasil,"tarsila, brazilian, antropofagia, modernism, paulo",0.0,0.842,0.158,0.9779,0.14375,0.3655303030303029,"brazilian, tarsila, amaral, andrade, art",0.042,0.821,0.137,0.9715,0.2083333333333333,0.5330882352941175,"tarsila, modernist, andrade, paulo, são",0.022,0.925,0.053,0.807,0.1841269841269841,0.5253968253968254,"tarsila, brazilian, art, modernism, painter",0.021,0.909,0.07,0.8481,0.1537037037037037,0.4527777777777777,"tarsila, brazilian, art, paulo, são",0.033,0.819,0.148,0.9776,0.1871527777777778,0.4378472222222222
Anita Malfatti,Female,20th,Artist,Brasil,"malfatti, andrade, brazilian, 1922, art",0.081,0.822,0.097,-0.1027,0.0646464646464646,0.4047474747474747,"malfatti, lobato, brazilian, anita, art",0.073,0.845,0.082,0.2732,0.1165449134199134,0.5238997113997114,"malfatti, modernist, paulo, são, art",0.046,0.855,0.098,0.926,0.1164545454545454,0.6398484848484849,"malfatti, anita, rio, brazilian, expressionist",0.097,0.811,0.092,-0.0883,0.0896769896769896,0.4015026640026641,"malfatti, brazilian, art, brazil, modernism",0.034,0.859,0.107,0.9144,0.1351449275362319,0.5192028985507245
Lygia Clark,Female,20th,Artist,Brasil,"art, concrete, participatory, clark, therapy",0.074,0.825,0.101,0.6124,0.0680555555555555,0.5222222222222223,"clark, art, sensory, viewer, objects",0.025,0.907,0.068,0.8225,0.0851540616246498,0.5950980392156862,"clark, art, relational, therapeutic, interactive",0.024,0.912,0.063,0.8462,0.0957575757575757,0.4974458874458874,"clark, lygia, art, são, paulo",0.03,0.86,0.11,0.9231,0.1965277777777777,0.6048611111111112,"clark, art, lygia, abstract, participation",0.014,0.908,0.078,0.9371,0.0768518518518518,0.4435185185185185
Maria Martins,Female,20th,Artist,Brasil,"martins, duchamp, diplomat, sculptures, sphan",0.03,0.884,0.087,0.8442,0.1775974025974026,0.5059523809523809,"martins, diplomat, sculptures, campanha, capitals",0.061,0.796,0.143,0.9601,0.1164956011730205,0.4665444770283479,"martins, duchamp, brazil, sculptor, art",0.033,0.81,0.157,0.9811,0.1470920745920746,0.4986829836829836,"martins, art, exhibition, african, artistic",0.02,0.841,0.139,0.984,0.2059747723540826,0.5866920435885953,"martins, art, brazil, brazilian, maria",0.01,0.909,0.081,0.8968,0.21875,0.5416666666666666
Tomie Ohtake,Female,20th,Artist,Brasil,"ohtake, japanese, paulo, são, informalismo",0.0,0.909,0.091,0.9428,0.1376666666666667,0.3633333333333333,"ohtake, brazilian, abstract, keisuke, sugano",0.034,0.794,0.172,0.9847,0.2348484848484848,0.609469696969697,"paulo, são, exhibitions, art, biennale",0.023,0.883,0.094,0.9348,0.1269736842105263,0.4754385964912281,"ohtake, dramas, anime, rin, tomie",0.023,0.853,0.124,0.981,0.1890804597701149,0.3603448275862069,"ohtake, art, brazilian, paulo, são",0.009,0.838,0.153,0.9858,0.1277892561983471,0.3994490358126721
Alina Szapocznikow,Female,20th,Artist,Poland,"szapocznikow, resin, herbarium, polyester, tumors",0.113,0.796,0.091,-0.8026,0.1692307692307692,0.5722527472527472,"szapocznikow, body, sculptures, foam, pabianice",0.049,0.829,0.122,0.9408,0.0626811594202898,0.4576086956521738,"szapocznikow, materials, holocaust, trauma, sculptures",0.086,0.811,0.103,0.5859,0.0599862258953168,0.4123278236914601,"szapocznikow, irvine, polish, pen, jewish",0.037,0.798,0.165,0.9872,0.1644230769230769,0.3919871794871794,"szapocznikow, sculpture, artistic, warsaw, war",0.062,0.824,0.114,0.906,0.1945987654320987,0.5450617283950618
Maria Jarema,Female,20th,Artist,Poland,"jarema, theater, kraków, group, polish",0.069,0.851,0.08,-0.3755,0.173015873015873,0.4055555555555555,"jarema, kraków, artistic, theatre, maria",0.081,0.761,0.158,0.9476,0.2380434782608695,0.6739130434782609,"jarema, polish, krakow, art, garde",0.04,0.883,0.077,0.7501,0.144047619047619,0.6035714285714286,"jarema, children, australia, little, maria",0.066,0.805,0.129,0.941,0.1206439393939394,0.4864718614718614,"jarema, art, kraków, polish, poland",0.058,0.8,0.142,0.9607,0.1396915584415584,0.5305194805194804
Tamara de Lempicka,Female,20th,Artist,Poland,"tamara, lempicka, deco, art, autoportrait",0.065,0.867,0.068,-0.34,0.0291666666666666,0.4645833333333333,"deco, lempicka, tamara, baron, art",0.082,0.768,0.15,0.9617,0.1091304347826086,0.4647826086956521,"lempicka, deco, art, luxury, sophistication",0.05,0.808,0.141,0.9641,0.1641945773524721,0.5055023923444977,"lempicka, deco, art, self, portraits",0.089,0.796,0.115,0.6452,0.2207070707070707,0.6699494949494951,"deco, lempicka, tamara, art, wealthy",0.053,0.831,0.116,0.9035,0.1233901515151515,0.4588699494949494
Zofia Stryjeńska,Female,20th,Artist,Poland,"stryjeńska, decorative, illustrations, polish, art",0.039,0.817,0.144,0.9556,0.1260416666666666,0.3916666666666666,"stryjeńska, stryjeński, zofia, krakow, decorative",0.114,0.712,0.174,0.9362,0.1944581280788177,0.3708128078817734,"stryjeńska, polish, art, illustrations, folk",0.064,0.849,0.087,0.6051,0.1723333333333333,0.4393333333333333,"stryjeńska, polish, warsaw, zofia, paper",0.061,0.861,0.079,0.875,0.0951149425287356,0.2307471264367815,"stryjeńska, polish, 1976, vibrant, heritage",0.045,0.774,0.181,0.9909,0.1491376902667225,0.4999162128194386
Katarzyna Kobro,Female,20th,Artist,Poland,"kobro, space, strzemiński, spatial, composition",0.112,0.809,0.079,-0.7814,0.1525641025641025,0.4576923076923076,"kobro, strzemiński, constructivist, spatial, sculptures",0.139,0.759,0.102,-0.9002,0.1435119047619047,0.5472619047619047,"kobro, spatial, sculpture, compositions, forms",0.064,0.84,0.095,0.8871,0.2167072510822511,0.5270698051948052,"kobro, kinetic, sculpture, spatial, katarzyna",0.022,0.906,0.071,0.9166,0.1086538461538461,0.3971153846153845,"kobro, polish, pieces, abstract, 1951",0.08,0.827,0.093,0.1531,0.1902777777777778,0.5458333333333333
