Country,DeepSeek,Gemini,Llama,Phi,ChatGPT
Argentina,0.120835233121044,0.12343641210034609,0.12542821271635268,0.12222691902543101,0.13064205027134948
Brasil,0.1384066368870398,0.1444181968210211,0.14171809163619492,0.13546234530894588,0.1474092922582362
Canada,0.14842560605624813,0.14531852802984987,0.14974957620733936,0.14157938692802308,0.1482460728919497
China,0.12882210326485538,0.12650120572299964,0.12375796719207541,0.11696609030025684,0.12771606027106724
France,0.1301373643796188,0.1281343562566919,0.1172227077429835,0.13625428496126346,0.1420449106328588
Germany,0.13185605134002487,0.12890402847686594,0.11581801170591177,0.12430610127940382,0.12873579519497294
Italy,0.13073018332792918,0.13649845874964062,0.12035951918230316,0.1234025733680588,0.133852285561946
Japan,0.11997748430470082,0.12919875916032234,0.11882079334872825,0.12600440828080708,0.12745101027244576
Mexico,0.12623255635078978,0.12451584764640704,0.12126764715623684,0.1284659455109152,0.12668111380569813
Netherlands,0.1516267258729896,0.14294233562233613,0.12957566775881613,0.1471847692277369,0.14285765273681186
Norway,0.13769048329750724,0.13264535893093465,0.12922080337096137,0.12845284984265415,0.1401865487059099
Poland,0.13905567344498318,0.1375940343484169,0.12497543716183296,0.12986770406800785,0.1365468814677625
Portugal,0.14600492653498715,0.13717059810013954,0.1310979426792973,0.13105625553407607,0.1375737790541922
Russia,0.10978147859364762,0.12642863902397206,0.12419751784765605,0.11687906720199309,0.12947577308022387
South Korea,0.1347434830829763,0.13926619364337653,0.134194122856245,0.13531204791796655,0.13697348596046147
Spain,0.13466590215139312,0.12644270063130925,0.1292184909456778,0.1300138035532879,0.12941767376654467
Turkey,0.13460665139184103,0.1354863887234199,0.13365277013083274,0.12820347416337455,0.13451283360835592
United Kingdom,0.1551902250430155,0.13984804158361788,0.13410953954013358,0.13502824832951693,0.14327574125658482
United States,0.14731359408625136,0.14358908717108643,0.14121101805004388,0.13680064121030117,0.13723771147192723
