Country,DeepSeek,Gemini,Llama,Phi,ChatGPT
Argentina,0.5940677966101695,0.7653830508474576,0.7082079096045197,0.8388977401129942,0.892628813559322
Brasil,0.7330132075471697,0.8222716981132075,0.7985867924528303,0.8370654088050317,0.9232849056603774
Canada,0.827232298136646,0.8810944099378882,0.8839267080745341,0.8913987577639751,0.9637055900621118
China,0.6689937888198758,0.7160347826086957,0.7799385093167701,0.8000596273291924,0.8683590062111801
France,0.6430660714285714,0.7094886904761906,0.6767517857142857,0.8126613095238097,0.8286333333333333
Germany,0.603568361581921,0.544519209039548,0.5872502824858757,0.6789661016949152,0.7807446327683616
Italy,0.6719290502793296,0.6746324022346367,0.7266418994413407,0.7978854748603352,0.8363670391061453
Japan,0.6627494252873563,0.7565821839080461,0.7667649425287356,0.7739195402298851,0.9011166666666668
Mexico,0.7124467455621302,0.7929514792899409,0.8084970414201185,0.8328621301775149,0.8966994082840235
Netherlands,0.7600122222222222,0.7922955555555556,0.7329777777777778,0.8440311111111113,0.9009122222222222
Norway,0.7674305389221556,0.8670215568862275,0.7925425149700599,0.8929718562874253,0.9234784431137726
Poland,0.6558641711229947,0.7153973262032084,0.6535171122994653,0.7446946524064172,0.873614973262032
Portugal,0.8093081871345028,0.8853812865497075,0.808912865497076,0.8768011695906432,0.9198695906432747
Russia,0.5679578651685393,0.6431308988764045,0.6178848314606741,0.6881848314606741,0.8223837078651687
South Korea,0.6762691860465115,0.7349965116279069,0.7125139534883722,0.8481453488372093,0.8991854651162791
Spain,0.702820481927711,0.7137277108433735,0.72065,0.853506626506024,0.8848746987951807
Turkey,0.7826689119170985,0.7774119170984456,0.7806098445595854,0.9022984455958549,0.9524834196891191
United Kingdom,0.6420662790697673,0.6982866279069767,0.734811046511628,0.7651720930232555,0.8794732558139536
United States,0.668902395209581,0.7825413173652693,0.7690221556886226,0.7933886227544911,0.8534616766467066
