Country,DeepSeek,Gemini,Llama,Phi,ChatGPT
Argentina,0.0426271186440678,0.03942372881355932,0.027802259887005656,0.031491525423728815,0.029333333333333333
Brasil,0.034044025157232705,0.033232704402515724,0.020182389937106915,0.02738993710691824,0.01711320754716981
Canada,0.032422360248447205,0.033652173913043475,0.020850931677018635,0.024254658385093168,0.016751552795031058
China,0.04763354037267081,0.045881987577639755,0.02716770186335404,0.03301242236024844,0.025559006211180124
France,0.04616071428571429,0.042744047619047626,0.03240476190476191,0.03108333333333333,0.03444047619047619
Germany,0.04596045197740114,0.05118644067796611,0.03649717514124294,0.03807909604519774,0.032627118644067796
Italy,0.04492178770949721,0.04206145251396648,0.027357541899441343,0.03926815642458101,0.025709497206703912
Japan,0.04648850574712645,0.042258620689655184,0.02718965517241379,0.03791379310344827,0.02308620689655172
Mexico,0.037242603550295864,0.033905325443786986,0.020508875739644973,0.032301775147929,0.020035502958579882
Netherlands,0.03633888888888889,0.03748888888888889,0.023572222222222224,0.02695555555555556,0.020577777777777778
Norway,0.03662874251497006,0.030874251497005987,0.026538922155688625,0.025143712574850298,0.019323353293413174
Poland,0.04979144385026738,0.04842245989304813,0.03678074866310161,0.04558823529411765,0.032203208556149734
Portugal,0.026239766081871344,0.03126315789473684,0.016842105263157894,0.025122807017543856,0.01622222222222222
Russia,0.05267415730337079,0.04746067415730337,0.036853932584269666,0.0397247191011236,0.030994382022471918
South Korea,0.04967441860465117,0.042726744186046516,0.028499999999999994,0.03470348837209303,0.021651162790697672
Spain,0.04057228915662651,0.04221084337349398,0.02995783132530121,0.02905421686746988,0.025704819277108437
Turkey,0.0346839378238342,0.03252849740932643,0.018248704663212434,0.027901554404145077,0.01900518134715026
United Kingdom,0.04469767441860466,0.042947674418604656,0.03181976744186047,0.030866279069767442,0.030023255813953487
United States,0.049107784431137724,0.050311377245508986,0.0345808383233533,0.03231736526946107,0.03256287425149701
