Country,DeepSeek,Gemini,Llama,Phi,ChatGPT
Argentina,0.845406779661017,0.8349435028248589,0.8693050847457628,0.8368135593220338,0.8352881355932203
Brasil,0.8432327044025154,0.8342012578616352,0.8700566037735848,0.8471823899371069,0.846069182389937
Canada,0.84472049689441,0.8370496894409937,0.8566521739130434,0.8373478260869566,0.8464968944099379
China,0.8321366459627328,0.8241739130434783,0.8590683229813665,0.8428198757763975,0.8454968944099379
France,0.8388035714285713,0.8370773809523809,0.8613571428571427,0.8409404761904763,0.8385059523809524
Germany,0.8391581920903955,0.8382090395480226,0.8644858757062147,0.846683615819209,0.8438361581920905
Italy,0.8311620111731844,0.8249050279329608,0.8591229050279331,0.8288491620111731,0.8378491620111731
Japan,0.8339540229885057,0.8262701149425287,0.8569195402298849,0.8266724137931033,0.845103448275862
Mexico,0.8424497041420119,0.8361597633136095,0.8703076923076922,0.8307337278106509,0.8462307692307691
Netherlands,0.8365388888888888,0.8256333333333336,0.8704944444444446,0.8377166666666666,0.8428444444444444
Norway,0.8304910179640719,0.8336526946107784,0.8546347305389221,0.8326706586826347,0.8427185628742514
Poland,0.8253422459893048,0.8211871657754012,0.8571978609625668,0.8269679144385025,0.8326417112299466
Portugal,0.8495614035087719,0.8351695906432747,0.8732339181286551,0.8393040935672516,0.8440292397660819
Russia,0.8327415730337079,0.8340337078651685,0.8638146067415731,0.8395280898876405,0.8387808988764045
South Korea,0.8216453488372092,0.829406976744186,0.85125,0.8185697674418604,0.8411802325581395
Spain,0.8366686746987951,0.8280843373493977,0.8570722891566265,0.8296084337349396,0.838909638554217
Turkey,0.8405751295336787,0.8400518134715026,0.8757046632124352,0.8358497409326424,0.833839378238342
United Kingdom,0.8354651162790697,0.830593023255814,0.8542093023255815,0.8399883720930231,0.8371337209302326
United States,0.8309041916167664,0.8217904191616767,0.8478023952095807,0.8388323353293412,0.8375868263473051
