Country,DeepSeek,Gemini,Llama,Phi,ChatGPT
Argentina,0.11198870056497176,0.12569491525423726,0.10283050847457627,0.13168926553672317,0.13529378531073447
Brasil,0.12270440251572326,0.13252830188679246,0.10973584905660377,0.12540880503144652,0.13681132075471697
Canada,0.1227950310559006,0.12927950310559005,0.12247204968944099,0.13840993788819878,0.13673291925465836
China,0.12024844720496894,0.1298944099378882,0.11372670807453412,0.12414906832298137,0.12888819875776397
France,0.11508333333333333,0.12016071428571429,0.10630357142857144,0.12798214285714285,0.1270654761904762
Germany,0.114909604519774,0.11060451977401128,0.09894350282485875,0.11524858757062148,0.12354237288135592
Italy,0.12391620111731844,0.13302234636871507,0.1135195530726257,0.13185474860335195,0.13646927374301676
Japan,0.11953448275862069,0.13145977011494253,0.11597701149425287,0.1353390804597701,0.13183333333333333
Mexico,0.12032544378698225,0.12995857988165682,0.10920710059171597,0.13698816568047337,0.13371597633136095
Netherlands,0.12716666666666668,0.1368611111111111,0.10601111111111111,0.13533888888888893,0.1366388888888889
Norway,0.1329041916167665,0.1354730538922156,0.11882035928143712,0.14216766467065867,0.13792814371257486
Poland,0.12485561497326203,0.13037967914438503,0.10602139037433156,0.12739037433155082,0.13514973262032087
Portugal,0.12422222222222223,0.13356725146198833,0.10988304093567251,0.1356140350877193,0.13975438596491227
Russia,0.11456741573033709,0.1185112359550562,0.09933707865168541,0.12071348314606743,0.13030337078651685
South Korea,0.1286627906976744,0.12778488372093022,0.12026744186046512,0.14677325581395348,0.1371686046511628
Spain,0.12273493975903615,0.12970481927710842,0.11300602409638555,0.14127710843373492,0.13542168674698796
Turkey,0.12474093264248706,0.12739896373056994,0.10602072538860102,0.13626424870466322,0.14713471502590672
United Kingdom,0.11975581395348839,0.1264244186046512,0.11396511627906977,0.12916860465116278,0.13286627906976742
United States,0.11995209580838322,0.12791616766467068,0.1175988023952096,0.12880239520958084,0.1298323353293413
