Country,DeepSeek,Gemini,Llama,Phi,ChatGPT
Argentina,0.3629682503647725,0.4046569047146584,0.3927163058585462,0.3670371907019629,0.40430692923820627
Brasil,0.36560193246218936,0.4273323476436358,0.40906444995557756,0.3794404493443406,0.4203422599212251
Canada,0.37434852205836106,0.42814810882567095,0.409666357292542,0.3856526227876436,0.4170921707380169
China,0.341275673442882,0.3932288774108338,0.3551994347892367,0.3370148921237181,0.3712404193900843
France,0.35871613234956556,0.4067987016810361,0.371220162437483,0.37855960062659133,0.4063948316090917
Germany,0.36147628611225785,0.3991153783233224,0.3653605212187484,0.37496626490058466,0.39994234566041176
Italy,0.35206268374851224,0.39834156812302113,0.36928903020235926,0.3610660633554419,0.3920461999822697
Japan,0.34594829456305465,0.3982594908505687,0.36393295241375545,0.3696009444226236,0.38373047841795505
Mexico,0.3408888120857729,0.39078040193769864,0.3555958732397303,0.35823254158610546,0.3838168267506811
Netherlands,0.39370442388230203,0.42593605016027,0.3986152809357757,0.41100649135425577,0.42800477257997915
Norway,0.3570604191211192,0.3939040119555277,0.3613504948456461,0.3716638368531565,0.39791882102376325
Poland,0.3778711703297978,0.4166271003921294,0.3715768799897304,0.3887701245276096,0.41061054459102364
Portugal,0.37785540578511345,0.40882240243318074,0.38788408433925964,0.3879026884584931,0.4093746019032419
Russia,0.34400543471451683,0.4061395111723955,0.37363564689107037,0.3677623800196385,0.3953377572730349
South Korea,0.36639156405272943,0.4285250349086679,0.3768625996915528,0.3871594045713133,0.4017396221040122
Spain,0.3520900128169032,0.3917872660421422,0.37124714231951766,0.36418394016332695,0.38949976222324084
Turkey,0.35583758518324865,0.4040790534151145,0.3780266209710401,0.3848115777908816,0.4008380996361045
United Kingdom,0.37160056920015433,0.41064588501690497,0.3822065155642058,0.37097492393855225,0.4017464465538806
United States,0.3851721131283542,0.4319355143038586,0.40416220612673187,0.3957181501140182,0.41343102610901133
